week,position,name,points
1,K,Justin Tucker,8
1,K,Harrison Butker,9
2,K,Chris Boswell,9
2,K,Wil Lutz,6
2,K,Joshua Karty,4
2,K,Matt Prater,14
2,K,Jason Myers,12
2,K,Joey Slye,8
2,K,Chase McLaughlin,10
2,K,Jake Bates,10
2,K,Daniel Carlson,18
2,K,Justin Tucker,13
2,K,Dustin Hopkins,13
2,K,Cam Little,7
2,K,Cameron Dicker,10
2,K,Eddy Pineiro,3
2,K,Jamie Gillan,0
2,K,Austin Seibert,22
2,K,Greg Zuerlein,6
2,K,Nick Folk,6
2,K,Matt Gay,4
2,K,Brayden Narveson,12
2,K,Blake Grupe,8
2,K,Brandon Aubrey,17
2,K,Jake Moody,5
2,K,Will Reichard,11
2,K,Tyler Bass,8
2,K,Jason Sanders,4
1,K,Greg Zuerlein,1
1,K,Jake Moody,26
1,K,Joshua Karty,9
1,K,Jake Bates,8
15,K,Joey Slye,7
15,K,Chad Ryland,14
15,K,Harrison Butker,3
15,K,Riley Patterson,1
15,K,Anders Carlson,7
15,K,Cam Little,15
15,K,Brandon Aubrey,16
15,K,Eddy Pineiro,2
15,K,Justin Tucker,5
15,K,Graham Gano,2
15,K,Greg Joseph,9
15,K,Blake Grupe,10
15,K,Cade York,7
15,K,Nick Folk,3
15,K,Jason Sanders,8
15,K,Ka'imi Fairbairn,9
15,K,Joshua Karty,13
15,K,Jake Moody,9
14,K,Cade York,9
14,K,Brandon Aubrey,9
14,K,Cameron Dicker,5
14,K,Matthew Wright,16
14,K,Tyler Bass,6
14,K,Joshua Karty,8
14,K,Cairo Santos,1
14,K,Jake Moody,8
14,K,Jason Myers,12
14,K,Chad Ryland,4
14,K,Daniel Carlson,7
14,K,Chase McLaughlin,4
14,K,Anders Carlson,16
14,K,Jason Sanders,16
14,K,Dustin Hopkins,2
14,K,Chris Boswell,11
14,K,Eddy Pineiro,4
14,K,Jake Elliott,2
14,K,Blake Grupe,2
14,K,Graham Gano,4
14,K,Younghoe Koo,7
14,K,Will Reichard,6
14,K,Cam Little,4
14,K,Nick Folk,7
14,K,Brandon McManus,7
14,K,Jake Bates,11
13,K,Dustin Hopkins,7
13,K,Wil Lutz,11
13,K,Jake Moody,4
13,K,Tyler Bass,5
13,K,Jake Elliott,6
13,K,Justin Tucker,9
13,K,Chase McLaughlin,16
13,K,Eddy Pineiro,12
13,K,Joshua Karty,3
13,K,Blake Grupe,10
13,K,Ka'imi Fairbairn,13
13,K,Cam Little,6
13,K,Nick Folk,9
13,K,Zane Gonzalez,6
13,K,Jason Myers,11
13,K,Anders Carlson,1
13,K,Chris Boswell,16
13,K,Evan McPherson,8
13,K,Cameron Dicker,12
13,K,Younghoe Koo,8
13,K,Matt Gay,5
13,K,Joey Slye,12
13,K,Chad Ryland,17
13,K,John Parker Romo,14
13,K,Daniel Carlson,5
13,K,Matthew Wright,14
13,K,Jason Sanders,3
13,K,Brandon McManus,13
13,K,Graham Gano,10
13,K,Brandon Aubrey,9
13,K,Cairo Santos,2
13,K,Jake Bates,12
12,K,Justin Tucker,7
12,K,Cameron Dicker,16
12,K,Jake Elliott,13
12,K,Joshua Karty,2
12,K,Jake Moody,5
12,K,Brandon McManus,10
12,K,Chad Ryland,6
12,K,Jason Myers,6
12,K,Wil Lutz,22
12,K,Daniel Carlson,15
12,K,Spencer Shrader,13
12,K,Eddy Pineiro,13
12,K,Brandon Aubrey,12
12,K,Austin Seibert,9
12,K,Chase McLaughlin,6
12,K,Graham Gano,1
12,K,Joey Slye,1
12,K,Jason Sanders,12
12,K,Jake Bates,8
12,K,Matt Gay,6
12,K,John Parker Romo,13
12,K,Cairo Santos,9
12,K,Nick Folk,18
12,K,Ka'imi Fairbairn,11
12,K,Chris Boswell,8
12,K,Dustin Hopkins,4
11,K,Ka'imi Fairbairn,10
11,K,Brandon Aubrey,6
11,K,Evan McPherson,9
11,K,Cameron Dicker,12
11,K,Spencer Shrader,3
11,K,Tyler Bass,6
11,K,Younghoe Koo,9
11,K,Wil Lutz,9
11,K,Jason Myers,12
11,K,Jake Moody,5
11,K,Matt Gay,14
11,K,Anders Carlson,11
11,K,Cam Little,8
11,K,Jake Bates,12
11,K,Justin Tucker,6
11,K,Chris Boswell,24
11,K,Joshua Karty,4
11,K,Joey Slye,11
11,K,Daniel Carlson,7
11,K,Jason Sanders,11
11,K,Dustin Hopkins,0
11,K,Blake Grupe,5
11,K,John Parker Romo,6
11,K,Nick Folk,8
11,K,Brandon McManus,2
11,K,Cairo Santos,9
11,K,Zane Gonzalez,5
11,K,Jake Elliott,8
10,K,Jason Sanders,15
10,K,Joshua Karty,19
10,K,Jake Bates,12
10,K,Ka'imi Fairbairn,13
10,K,Jake Elliott,10
10,K,Brandon Aubrey,7
10,K,Spencer Shrader,7
10,K,Chad Ryland,7
10,K,Nick Folk,5
10,K,Cameron Dicker,9
10,K,John Parker Romo,13
10,K,Cam Little,1
10,K,Chris Boswell,4
10,K,Zane Gonzalez,11
10,K,Jake Moody,12
10,K,Chase McLaughlin,8
10,K,Tyler Bass,13
10,K,Matt Gay,8
10,K,Younghoe Koo,5
10,K,Blake Grupe,8
10,K,Wil Lutz,2
10,K,Harrison Butker,10
10,K,Joey Slye,13
10,K,Cairo Santos,3
10,K,Graham Gano,6
10,K,Eddy Pineiro,10
10,K,Evan McPherson,4
10,K,Justin Tucker,3
9,K,Chase McLaughlin,7
9,K,Harrison Butker,7
9,K,Matt Gay,10
9,K,Will Reichard,3
9,K,Jake Bates,6
9,K,Brandon McManus,6
9,K,Joshua Karty,8
9,K,Jason Myers,2
9,K,Cam Little,1
9,K,Jake Elliott,5
9,K,Cairo Santos,13
9,K,Chad Ryland,11
9,K,Cameron Dicker,3
9,K,Dustin Hopkins,4
9,K,Blake Grupe,12
9,K,Eddy Pineiro,6
9,K,Wil Lutz,4
9,K,Justin Tucker,11
9,K,Daniel Carlson,7
9,K,Evan McPherson,12
9,K,Jason Sanders,9
9,K,Tyler Bass,14
9,K,Brandon Aubrey,9
9,K,Younghoe Koo,3
9,K,Austin Seibert,9
9,K,Jude McAtamney,4
9,K,Joey Slye,7
9,K,Nick Folk,8
9,K,Ka'imi Fairbairn,9
9,K,Riley Patterson,3
8,K,Greg Joseph,14
8,K,Chris Boswell,14
8,K,Brandon Aubrey,6
8,K,Anders Carlson,16
8,K,Eddy Pineiro,2
8,K,Wil Lutz,4
8,K,Harrison Butker,10
8,K,Daniel Carlson,10
8,K,Cairo Santos,1
8,K,Austin Seibert,13
8,K,Blake Grupe,8
8,K,Cameron Dicker,9
8,K,Tyler Bass,7
8,K,Jason Myers,4
8,K,Jake Elliott,15
8,K,Evan McPherson,5
8,K,Nick Folk,2
8,K,Jake Bates,12
8,K,Greg Zuerlein,4
8,K,Joey Slye,5
8,K,Chad Ryland,10
8,K,Jason Sanders,11
8,K,Justin Tucker,7
8,K,Dustin Hopkins,12
8,K,Brandon McManus,12
8,K,Cam Little,10
8,K,Younghoe Koo,7
8,K,Chase McLaughlin,8
8,K,Matt Gay,9
8,K,Ka'imi Fairbairn,11
8,K,Will Reichard,8
8,K,Joshua Karty,4
7,K,Cameron Dicker,21
7,K,Chad Ryland,5
7,K,Justin Tucker,13
7,K,Chase McLaughlin,5
7,K,Greg Zuerlein,1
7,K,Chris Boswell,14
7,K,Harrison Butker,4
7,K,Anders Carlson,8
7,K,Eddy Pineiro,1
7,K,Austin Seibert,17
7,K,Daniel Carlson,16
7,K,Joshua Karty,2
7,K,Evan McPherson,3
7,K,Dustin Hopkins,0
7,K,Jake Elliott,4
7,K,Greg Joseph,3
7,K,Nick Folk,4
7,K,Tyler Bass,10
7,K,Jason Myers,12
7,K,Younghoe Koo,2
7,K,Jason Sanders,4
7,K,Matt Gay,12
7,K,Ka'imi Fairbairn,12
7,K,Brandon McManus,7
7,K,Jake Bates,8
7,K,Will Reichard,15
7,K,Joey Slye,5
7,K,Cam Little,6
7,K,Wil Lutz,18
7,K,Blake Grupe,4
6,K,Tyler Bass,5
6,K,Greg Zuerlein,8
6,K,Evan McPherson,5
6,K,Greg Joseph,1
6,K,Younghoe Koo,12
6,K,Eddy Pineiro,9
6,K,Jake Bates,19
6,K,Brandon Aubrey,12
6,K,Cameron Dicker,12
6,K,Wil Lutz,5
6,K,Chris Boswell,17
6,K,Daniel Carlson,1
6,K,Dustin Hopkins,12
6,K,Jake Elliott,10
6,K,Ka'imi Fairbairn,12
6,K,Joey Slye,3
6,K,Austin Seibert,15
6,K,Justin Tucker,13
6,K,Chase McLaughlin,9
6,K,Blake Grupe,10
6,K,Matt Gay,8
6,K,Nick Folk,6
6,K,Chad Ryland,8
6,K,Brayden Narveson,11
6,K,Cam Little,4
6,K,Cairo Santos,5
6,K,Matthew Wright,13
6,K,Jason Myers,6
5,K,Blake Grupe,1
5,K,Harrison Butker,14
5,K,Brandon Aubrey,10
5,K,Chris Boswell,6
5,K,Brayden Narveson,7
5,K,Joshua Karty,1
5,K,Greg Joseph,11
5,K,Jason Myers,10
5,K,Daniel Carlson,5
5,K,Wil Lutz,13
5,K,Chad Ryland,11
5,K,Jake Moody,8
5,K,Jason Sanders,12
5,K,Joey Slye,4
5,K,Justin Tucker,13
5,K,Evan McPherson,4
5,K,Matt Gay,10
5,K,Cam Little,14
5,K,Dustin Hopkins,9
5,K,Austin Seibert,10
5,K,Tyler Bass,8
5,K,Ka'imi Fairbairn,16
5,K,Eddy Pineiro,4
5,K,Cairo Santos,6
5,K,Greg Zuerlein,5
5,K,Will Reichard,16
5,K,Chase McLaughlin,16
5,K,Younghoe Koo,17
4,K,Jason Myers,3
4,K,Jake Bates,6
4,K,Nick Folk,24
4,K,Jason Sanders,9
4,K,Tyler Bass,6
4,K,Justin Tucker,5
4,K,Dustin Hopkins,6
4,K,Daniel Carlson,10
4,K,Harrison Butker,5
4,K,Cameron Dicker,6
4,K,Joey Slye,11
4,K,Jake Moody,13
4,K,Austin Seibert,11
4,K,Matt Prater,2
4,K,Wil Lutz,5
4,K,Greg Zuerlein,10
4,K,Chris Boswell,8
4,K,Matt Gay,9
4,K,Blake Grupe,7
4,K,Younghoe Koo,20
4,K,Evan McPherson,13
4,K,Eddy Pineiro,7
4,K,Jake Elliott,2
4,K,Chase McLaughlin,11
4,K,Cam Little,11
4,K,Ka'imi Fairbairn,6
4,K,Joshua Karty,15
4,K,Cairo Santos,7
4,K,Will Reichard,7
4,K,Brayden Narveson,3
4,K,Brandon Aubrey,11
4,K,Greg Joseph,19
3,K,Austin Seibert,9
3,K,Evan McPherson,9
3,K,Cam Little,5
3,K,Tyler Bass,12
3,K,Harrison Butker,13
3,K,Younghoe Koo,7
3,K,Justin Tucker,4
3,K,Brandon Aubrey,11
3,K,Jake Bates,2
3,K,Matt Prater,9
3,K,Jake Moody,6
3,K,Joshua Karty,9
3,K,Eddy Pineiro,13
3,K,Daniel Carlson,2
3,K,Jason Sanders,3
3,K,Jason Myers,8
3,K,Greg Joseph,3
3,K,Dustin Hopkins,1
3,K,Wil Lutz,16
3,K,Chase McLaughlin,1
3,K,Cameron Dicker,4
3,K,Chris Boswell,8
3,K,Cairo Santos,6
3,K,Matt Gay,3
3,K,Jake Elliott,1
3,K,Blake Grupe,6
3,K,Ka'imi Fairbairn,1
3,K,Will Reichard,12
3,K,Joey Slye,4
3,K,Greg Zuerlein,6
3,K,Brayden Narveson,13
3,K,Nick Folk,2
2,K,Younghoe Koo,10
2,K,Jake Elliott,7
2,K,Cairo Santos,11
2,K,Ka'imi Fairbairn,20
2,K,Evan McPherson,16
2,K,Harrison Butker,10
1,K,Brandon Aubrey,21
1,K,Dustin Hopkins,7
1,K,Cade York,2
1,K,Chase McLaughlin,15
1,K,Wil Lutz,11
1,K,Jason Myers,10
1,K,Daniel Carlson,4
1,K,Cameron Dicker,12
1,K,Ka'imi Fairbairn,17
1,K,Spencer Shrader,3
1,K,Cam Little,7
1,K,Jason Sanders,10
1,K,Will Reichard,4
1,K,Graham Gano,8
1,K,Matt Prater,8
1,K,Tyler Bass,10
1,K,Chris Boswell,26
1,K,Younghoe Koo,4
1,K,Joey Slye,10
1,K,Evan McPherson,6
1,K,Nick Folk,6
1,K,Cairo Santos,13
1,K,Eddy Pineiro,5
1,K,Blake Grupe,22
1,K,Brayden Narveson,11
1,K,Jake Elliott,10
